Title,Link,Image Link,Rating,Price,Availability,category,UPC,p_type,price_exc_tax,price_inc_tax,tax,books_avail,No_of_reviews
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com//media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,Three,£51.77,In stock,Poetry,a897fe39b1053632,Books,£51.77,£51.77,£0.00,22,0
Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com//media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,One,£53.74,In stock,Historical Fiction,90fa61229261140a,Books,£53.74,£53.74,£0.00,20,0
Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com//media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,One,£50.10,In stock,Fiction,6957f44c3847a760,Books,£50.10,£50.10,£0.00,20,0
Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com//media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,Four,£47.82,In stock,Mystery,e00eb4fd7b871a48,Books,£47.82,£47.82,£0.00,20,0
Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,https://books.toscrape.com//media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,Five,£54.23,In stock,History,4165285e1663650f,Books,£54.23,£54.23,£0.00,20,0
The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,https://books.toscrape.com//media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,One,£22.65,In stock,Young Adult,f77dbf2323deb740,Books,£22.65,£22.65,£0.00,19,0
The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com//media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,Four,£33.34,In stock,Business,2597b5a345f45e1b,Books,£33.34,£33.34,£0.00,19,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com//media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,Three,£17.93,In stock,Default,e72a5dfc7e9267b2,Books,£17.93,£17.93,£0.00,19,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com//media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,Four,£22.60,In stock,Default,e10e1e165dc8be4a,Books,£22.60,£22.60,£0.00,19,0
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com//media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,One,£52.15,In stock,Poetry,1dfe412b8ac00530,Books,£52.15,£52.15,£0.00,19,0
"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com//media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,Two,£13.99,In stock,Default,0312262ecafa5a40,Books,£13.99,£13.99,£0.00,19,0
Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com//media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,Four,£20.66,In stock,Poetry,30a7f60cd76ca58c,Books,£20.66,£20.66,£0.00,19,0
Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,https://books.toscrape.com//media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,Five,£17.46,In stock,Young Adult,ce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,19,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com//media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,Five,£52.29,In stock,Sequential Art,3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,19,0
Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com//media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,Five,£35.02,In stock,Music,a34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,19,0
